,Titles,Column_Titles,description,URLs
48,"Local authority ageing statistics, population projections for older people","['v4_1', 'Data Marking', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'sex', 'Sex', 'age-groups', 'AgeGroups', 'unit-of-measure', 'UnitOfMeasure']","Projected indicators included are derived from the published 2018-based subnational population projections for England, Wales, Scotland and Northern Ireland up to the year 2043. The indicators are the projected percentage of the population aged 65 years and over, 85 years and over, 0 to 15 years, 16 to 64 years, 16 years to State Pension age, State Pension age and over, median age and the Old Age Dependency Ratio (the number of people of State Pension age per 1000 of those aged 16 years to below State Pension age). 

This dataset has been produced by the Ageing Analysis Team for inclusion in the subnational ageing tool, which was published on July 20, 2020 (see link in Related datasets). The tool is interactive, and users can compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. 

Note on data sources: England, Wales, Scotland and Northern Ireland independently publish subnational population projections and the data available here are a compilation of these datasets. The ONS publish national level data for the UK, England, Wales and England & Wales, which has been included. National level data for Scotland and Northern Ireland have been taken from their subnational population projections datasets.",https://api.beta.ons.gov.uk/v1/datasets/ageing-population-projections/editions/time-series/versions/1
49,"Local authority ageing statistics, based on annual mid-year population estimates","['V4_1', 'Data Marking', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'sex', 'Sex', 'age-groups', 'AgeGroups', 'unit-of-measure', 'UnitOfMeasure']","Indicators included have been derived from the published 2019 mid-year population estimates for the UK, England, Wales, Scotland and Northern Ireland. These are the number of persons and percentage of the population aged 65 years and over, 85 years and over, 0 to 15 years, 16 to 64 years, 16 years to State Pension age, State Pension age and over, median age and the Old Age Dependency Ratio (the number of people of State Pension age per 1000 of those aged 16 years to below State Pension age).

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which was published in July 2020. The tool enables users to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu.",https://api.beta.ons.gov.uk/v1/datasets/ageing-population-estimates/editions/time-series/versions/1
50,Sexual orientation (detailed),"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Sexual orientation (9 categories) Code', 'Sexual orientation (9 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by sexual orientation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS079/editions/2021/versions/2
51,Gender identity,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS078/editions/2021/versions/2
52,Sexual orientation,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by sexual orientation. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS077/editions/2021/versions/2
53,Welsh language skills (speaking) by single year of age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Welsh speaking ability (3 categories) Code', 'Welsh speaking ability (3 categories)', 'Age (86 categories) Code', 'Age (86 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in Wales by their ability to speak Welsh by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS076/editions/2021/versions/2
54,Multi religion households,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Multiple religions in household (7 categories) Code', 'Multiple religions in household (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by multi religion households. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS075/editions/2021/versions/4
55,Household Reference Person indicator of previous service in UK armed forces,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Household Reference Person previously served in UK armed forces (5 categories) Code', 'Household Reference Person previously served in UK armed forces (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by whether or not the Household Reference Person has previously served in the UK armed forces. The estimates are as at Census Day, 21 March 2021.

Following analysis after publishing topic summaries data, we released data at extra geography levels for some datasets.",https://api.beta.ons.gov.uk/v1/datasets/TS074/editions/2021/versions/3
56,Population who have previously served in UK armed forces in communal establishments and in households,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Residence type (2 categories) Code', 'Residence type (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales who have previously served in the UK armed forces by whether they reside in communal establishments and in households. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS073/editions/2021/versions/3
57,Number of people in household who have previously served in UK armed forces,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Number of people in household who previously served in UK armed forces (5 categories) Code', 'Number of people in household who previously served in UK armed forces (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by the number of people in the household who have previously served in the UK armed forces. The estimates are as at Census Day, 21 March 2021.

Following analysis after publishing topic summaries data, we released data at extra geography levels for some datasets.",https://api.beta.ons.gov.uk/v1/datasets/TS072/editions/2021/versions/3
58,Previously served in the UK armed forces,"['Lower tier local authorities Code', 'Lower tier local authorities', 'UK armed forces veteran indicator (5 categories) Code', 'UK armed forces veteran indicator (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by whether or not they have previously served in the UK armed forces. This does not include people who are currently serving in the UK armed forces. The estimates are as at Census Day, 21 March 2021.

Following analysis after publishing topic summaries data, we released data at extra geography levels for some datasets.",https://api.beta.ons.gov.uk/v1/datasets/TS071/editions/2021/versions/3
59,Gender identity (detailed),"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Gender identity (8 categories) Code', 'Gender identity (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by gender identity. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS070/editions/2021/versions/2
60,Schoolchildren and full-time students,"['Lower Tier Local Authorities Code', 'Lower Tier Local Authorities', 'Schoolchild or full-time student indicator (3 categories) Code', 'Schoolchild or full-time student indicator (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify all usual residents aged 5 years and over in England and Wales. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS068/editions/2021/versions/3
61,Highest level of qualification,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Highest level of qualification (8 categories) Code', 'Highest level of qualification (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by their highest level of qualification. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/TS067/editions/2021/versions/3
